symbol,trade_type,first_message_timestamp,capital_before,capital_after,trade_amount,position_size,entry_price,entry_time,exit_price,exit_time,trade_open_price,trade_close_price,trade_open_time,trade_close_time,exit_reason,target_price,stop_price,hold_time_hours,hold_time_minutes,pnl_percent,pnl_amount,profit_target_pct,stop_loss_pct,max_hold_hours,data_points_used,total_data_points,error
FHE,LONG,2025-04-12 12:55:12+00:00,4575.009560071938,5261.260994082728,4575.009560071938,77793.05492385542,0.05881,2025-04-12T15:00:00+00:00,0.0676315,2025-04-12T15:05:00+00:00,0.05881,0.0676315,2025-04-12T15:00:00+00:00,2025-04-12T15:05:00+00:00,target_hit,0.0676315,0.0576338,0.08,5.0,15.0,686.25,15.0,2.0,2.0,2.0,576.0,
KERNEL,LONG,2025-04-14 11:30:18+00:00,5261.260994082728,5156.035774201073,5261.260994082728,13252.546584591253,0.397,2025-04-14T12:00:00+00:00,0.38906,2025-04-14T12:05:00+00:00,0.397,0.38906,2025-04-14T12:00:00+00:00,2025-04-14T12:05:00+00:00,stop_loss_hit,0.45655,0.38906,0.08,5.0,-2.0,-105.23,15.0,2.0,2.0,2.0,576.0,
WCT,LONG,2025-04-15 10:30:10+00:00,5156.035774201073,5052.915058717052,5156.035774201073,15076.127994739978,0.342,2025-04-15T11:00:00+00:00,0.33516,2025-04-15T11:30:00+00:00,0.342,0.33516,2025-04-15T11:00:00+00:00,2025-04-15T11:30:00+00:00,stop_loss_hit,0.3933,0.33516,0.5,30.0,-2.0,-103.12,15.0,2.0,2.0,7.0,576.0,
INIT,LONG,2025-04-16 03:16:04+00:00,5052.915058717052,4951.8567575427105,5052.915058717052,6940.817388347598,0.728,2025-04-16T06:30:00+00:00,0.71344,2025-04-16T06:35:00+00:00,0.728,0.71344,2025-04-16T06:30:00+00:00,2025-04-16T06:35:00+00:00,stop_loss_hit,0.8371999999999999,0.71344,0.08,5.0,-2.0,-101.06,15.0,2.0,2.0,2.0,576.0,
AERGO,LONG,2025-04-16 07:47:40+00:00,4951.8567575427105,5694.6352711741165,4951.8567575427105,15097.124260800945,0.328,2025-04-16T11:00:00+00:00,0.3772,2025-04-16T11:05:00+00:00,0.328,0.3772,2025-04-16T11:00:00+00:00,2025-04-16T11:05:00+00:00,target_hit,0.3772,0.32144,0.08,5.0,15.0,742.78,15.0,2.0,2.0,2.0,576.0,
BANK,LONG,2025-04-18 17:03:48+00:00,5694.6352711741165,6548.830561850234,5694.6352711741165,142365.8817793529,0.04,2025-04-18T18:30:00+00:00,0.046,2025-04-18T18:35:00+00:00,0.04,0.046,2025-04-18T18:30:00+00:00,2025-04-18T18:35:00+00:00,target_hit,0.046,0.0392,0.08,5.0,15.0,854.2,15.0,2.0,2.0,2.0,576.0,
DEEP,LONG,2025-04-22 06:51:31+00:00,6548.830561850234,6417.853950613228,6548.830561850234,51789.88186516594,0.12645,2025-04-22T08:30:00+00:00,0.123921,2025-04-22T08:35:00+00:00,0.12645,0.123921,2025-04-22T08:30:00+00:00,2025-04-22T08:35:00+00:00,stop_loss_hit,0.1454175,0.123921,0.08,5.0,-2.0,-130.98,15.0,2.0,2.0,2.0,576.0,
HYPER,LONG,2025-04-22 12:30:12+00:00,6417.853950613228,6289.4968716009635,6417.853950613228,25069.741994582924,0.256,2025-04-22T13:00:00+00:00,0.25088,2025-04-22T13:45:00+00:00,0.256,0.25088,2025-04-22T13:00:00+00:00,2025-04-22T13:45:00+00:00,stop_loss_hit,0.2944,0.25088,0.75,45.0,-2.0,-128.36,15.0,2.0,2.0,10.0,576.0,
MEMEFI,LONG,2025-04-25 05:02:56+00:00,6289.4968716009635,7232.921402341108,6289.4968716009635,3577643.271672903,0.001758,2025-04-25T07:15:00+00:00,0.0020217,2025-04-25T08:55:00+00:00,0.001758,0.0020217,2025-04-25T07:15:00+00:00,2025-04-25T08:55:00+00:00,target_hit,0.0020217,0.00172284,1.67,100.0,15.0,943.42,15.0,2.0,2.0,21.0,576.0,
JST,LONG,2025-04-28 07:29:49+00:00,7232.921402341108,8317.859612692273,7232.921402341108,206060.26615598152,0.035101,2025-04-28T09:30:00+00:00,0.040366149999999996,2025-04-28T09:40:00+00:00,0.035101,0.040366149999999996,2025-04-28T09:30:00+00:00,2025-04-28T09:40:00+00:00,target_hit,0.040366149999999996,0.03439898,0.17,10.0,15.0,1084.94,15.0,2.0,2.0,3.0,576.0,
