symbol,timestamp,coin_name,message,exchange,listing_announcement_time,actual_start_time,opening_price,closing_price,highest_price,lowest_price,highest_gain_percent,lowest_gain_percent,highest_price_time_min,lowest_price_time_min,data_points_count,analysis_period,price_data_saved,error
SOLAYERUSDT,2025-02-11 14:22:19+00:00,SOLAYER,$SOLAYER listed on Bybit futures,bybit,2025-02-11T14:22:19+00:00,2025-02-11T14:50:00+00:00,1.021,0.8421,1.3918,0.665,36.32,-34.87,885.0,100.0,571.0,48 hours from listing announcement (5m intervals),SOLAYERUSDT.json,
B3USDT,2025-02-12 10:33:27+00:00,B3,$B3 listed on Bybit futures,bybit,2025-02-12T10:33:27+00:00,2025-02-12T10:35:00+00:00,0.012023,0.010234,0.018484,0.009295,53.74,-22.69,690.0,25.0,576.0,48 hours from listing announcement (5m intervals),B3USDT.json,
RONINUSDT,2025-02-13 07:37:49+00:00,RONIN,$RONIN listed on Bybit futures,bybit,2025-02-13T07:37:49+00:00,2025-02-13T07:40:00+00:00,1.2265,1.2455,1.3152,1.175,7.23,-4.2,85.0,65.0,576.0,48 hours from listing announcement (5m intervals),RONINUSDT.json,
IPUSDT,2025-02-13 09:35:25+00:00,IP,$IP listed on Bybit futures,bybit,2025-02-13T09:35:25+00:00,2025-02-13T09:40:00+00:00,2.43,1.7758,2.43,1.7011,0.0,-30.0,0.0,460.0,576.0,48 hours from listing announcement (5m intervals),IPUSDT.json,
HEIUSDT,2025-02-14 09:53:44+00:00,HEI,$HEI listed on Bybit futures,bybit,2025-02-14T09:53:44+00:00,2025-02-14T09:55:00+00:00,0.7997,0.6898,0.8562,0.6562,7.07,-17.94,195.0,1810.0,576.0,48 hours from listing announcement (5m intervals),HEIUSDT.json,
JAILSTOOLUSDT,2025-02-14 10:28:20+00:00,JAILSTOOL,$JAILSTOOL listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
BROCCOLIUSDT,2025-02-14 12:29:59+00:00,BROCCOLI,$BROCCOLI listed on Bybit futures,bybit,2025-02-14T12:29:59+00:00,2025-02-14T12:35:00+00:00,0.15431,0.09121,0.19755,0.06885,28.02,-55.38,20.0,1675.0,575.0,48 hours from listing announcement (5m intervals),BROCCOLIUSDT.json,
SHELLUSDT,2025-02-17 08:24:19+00:00,SHELL,$SHELL listed on Bybit futures,bybit,2025-02-17T08:24:19+00:00,2025-02-17T08:30:00+00:00,0.5831,0.4903,0.6077,0.3706,4.22,-36.44,395.0,850.0,575.0,48 hours from listing announcement (5m intervals),SHELLUSDT.json,
GPSUSDT,2025-02-18 08:29:30+00:00,GPS,$GPS listed on Bybit futures,bybit,2025-02-18T08:29:30+00:00,2025-02-18T08:35:00+00:00,0.1153,0.12604,0.1391,0.10353,20.64,-10.21,1330.0,30.0,575.0,48 hours from listing announcement (5m intervals),GPSUSDT.json,
AVLUSDT,2025-02-20 10:57:00+00:00,AVL,$AVL listed on Bybit futures,bybit,2025-02-20T10:57:00+00:00,2025-02-20T11:00:00+00:00,0.3082,0.3425,0.513,0.2822,66.45,-8.44,995.0,35.0,576.0,48 hours from listing announcement (5m intervals),AVLUSDT.json,
KAITOUSDT,2025-02-20 13:35:09+00:00,KAITO,$KAITO listed on Bybit futures,bybit,2025-02-20T13:35:09+00:00,2025-02-20T13:40:00+00:00,1.1016,1.6118,2.13,0.8569,93.36,-22.21,1535.0,60.0,576.0,48 hours from listing announcement (5m intervals),KAITOUSDT.json,
CPOOLUSDT,2025-03-06 10:26:08+00:00,CPOOL,$CPOOL listed on Bybit futures,bybit,2025-03-06T10:26:08+00:00,2025-03-06T10:30:00+00:00,0.17592,0.13412,0.1821,0.13125,3.51,-25.39,0.0,2350.0,576.0,48 hours from listing announcement (5m intervals),CPOOLUSDT.json,
XTERUSDT,2025-03-06 10:36:49+00:00,XTER,$XTER listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
REDUSDT,2025-03-06 13:35:25+00:00,RED,$RED listed on Bybit futures,bybit,2025-03-06T13:35:25+00:00,2025-03-06T13:40:00+00:00,0.7149,0.6049,0.9298,0.5673,30.06,-20.65,90.0,860.0,576.0,48 hours from listing announcement (5m intervals),REDUSDT.json,
ROAMUSDT,2025-03-07 07:30:30+00:00,ROAM,$ROAM listed on Bybit futures,bybit,2025-03-07T07:30:30+00:00,2025-03-07T10:00:00+00:00,0.3622,0.286,0.378,0.2363,4.36,-34.76,0.0,410.0,547.0,48 hours from listing announcement (5m intervals),ROAMUSDT.json,
SERAPHUSDT,2025-03-11 08:25:47+00:00,SERAPH,$SERAPH listed on Bybit futures,bybit,2025-03-11T08:25:47+00:00,2025-03-11T08:30:00+00:00,0.14538,0.13811,0.15492,0.11598,6.56,-20.22,35.0,365.0,576.0,48 hours from listing announcement (5m intervals),SERAPHUSDT.json,
ELXUSDT,2025-03-12 07:02:01+00:00,ELX,$ELX listed on Bybit futures,bybit,2025-03-12T07:02:01+00:00,2025-03-12T10:00:00+00:00,0.5255,0.4524,0.5716,0.4498,8.77,-14.41,65.0,2675.0,541.0,48 hours from listing announcement (5m intervals),ELXUSDT.json,
BMTUSDT,2025-03-13 08:40:18+00:00,BMT,$BMT listed on Bybit futures,bybit,2025-03-13T08:40:18+00:00,2025-03-13T08:50:00+00:00,0.08327,0.11558,0.12829,0.08005,54.07,-3.87,2485.0,10.0,575.0,48 hours from listing announcement (5m intervals),BMTUSDT.json,
VICUSDT,2025-03-13 08:55:59+00:00,VIC,$VIC listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
EPICUSDT,2025-03-14 08:25:47+00:00,EPIC,$EPIC listed on Bybit futures,bybit,2025-03-14T08:25:47+00:00,2025-03-14T08:30:00+00:00,1.5147,1.6722,1.9482,1.4557,28.62,-3.9,785.0,0.0,576.0,48 hours from listing announcement (5m intervals),EPICUSDT.json,
MUBARAKUSDT,2025-03-17 07:59:49+00:00,MUBARAK,$MUBARAK listed on Bybit futures,bybit,2025-03-17T07:59:49+00:00,2025-03-17T08:05:00+00:00,0.12352,0.13098,0.22136,0.08649,79.21,-29.98,1035.0,215.0,575.0,48 hours from listing announcement (5m intervals),MUBARAKUSDT.json,
FORMUSDT,2025-03-19 10:03:48+00:00,FORM,$FORM listed on Bybit futures,bybit,2025-03-19T10:03:48+00:00,2025-03-19T10:05:00+00:00,1.8634,1.6856,1.995,1.4649,7.06,-21.39,1550.0,210.0,576.0,48 hours from listing announcement (5m intervals),FORMUSDT.json,
TUTUSDT,2025-03-19 10:05:45+00:00,TUT,$TUT listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
BRUSDT,2025-03-20 13:32:48+00:00,BR,$BR listed on Bybit futures,bybit,2025-03-20T13:32:48+00:00,2025-03-20T13:35:00+00:00,0.14929,0.17826,0.19688,0.1462,31.88,-2.07,795.0,5.0,576.0,48 hours from listing announcement (5m intervals),BRUSDT.json,
SIRENUSDT,2025-03-22 03:25:38+00:00,SIREN,$SIREN listed on Bybit futures,bybit,2025-03-22T03:25:38+00:00,2025-03-22T03:30:00+00:00,0.08463,0.06639,0.0971,0.06161,14.73,-27.2,45.0,1710.0,576.0,48 hours from listing announcement (5m intervals),SIRENUSDT.json,
NILUSDT,2025-03-24 13:32:34+00:00,NIL,$NIL listed on Bybit futures,bybit,2025-03-24T13:32:34+00:00,2025-03-24T13:35:00+00:00,0.8122,0.6254,0.8491,0.5972,4.54,-26.47,1145.0,1750.0,576.0,48 hours from listing announcement (5m intervals),NILUSDT.json,
PARTIUSDT,2025-03-25 13:18:28+00:00,PARTI,$PARTI listed on Bybit futures,bybit,2025-03-25T13:18:28+00:00,2025-03-25T13:20:00+00:00,0.3333,0.3414,0.437,0.3005,31.11,-9.84,35.0,575.0,576.0,48 hours from listing announcement (5m intervals),PARTIUSDT.json,
WALUSDT,2025-03-27 10:27:33+00:00,WAL,$WAL listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
BANANAS31USDT,2025-03-28 09:48:35+00:00,BANANAS31,$BANANAS31 listed on Bybit futures,bybit,2025-03-28T09:48:35+00:00,2025-03-28T09:50:00+00:00,0.005596,0.00523,0.005896,0.004467,5.36,-20.18,1620.0,1045.0,576.0,48 hours from listing announcement (5m intervals),BANANAS31USDT.json,
GUNUSDT,2025-03-31 13:21:29+00:00,GUN,$GUN listed on Bybit futures,bybit,2025-03-31T13:21:29+00:00,2025-03-31T13:25:00+00:00,0.10637,0.05272,0.11613,0.05116,9.18,-51.9,40.0,2855.0,576.0,48 hours from listing announcement (5m intervals),GUNUSDT.json,
XAUTUSDT,2025-04-03 11:45:33+00:00,XAUT,$XAUT listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
MLNUSDT,2025-04-09 08:26:18+00:00,MLN,$MLN listed on Bybit futures,bybit,2025-04-09T08:26:18+00:00,2025-04-09T08:45:00+00:00,9.091,8.939,9.85,8.56,8.35,-5.84,515.0,1875.0,573.0,48 hours from listing announcement (5m intervals),MLNUSDT.json,
BABYUSDT,2025-04-10 10:27:46+00:00,BABY,$BABY listed on Bybit futures,bybit,2025-04-10T10:27:46+00:00,2025-04-10T10:30:00+00:00,0.08999,0.1486,0.16844,0.06961,87.18,-22.65,2720.0,370.0,576.0,48 hours from listing announcement (5m intervals),BABYUSDT.json,
