profit_target_pct,stop_loss_pct,max_hold_hours,total_trades,win_rate,avg_profit_pct,median_profit_pct,max_profit_pct,min_profit_pct,std_profit_pct,avg_win_pct,avg_loss_pct,sharpe_ratio,avg_hold_time_hours,initial_capital,final_capital,total_return_pct,profit_target_hits,stop_loss_hits,max_hold_exits,end_of_data_exits
100,5,2,143,36.36,0.15,-3.26,50.37,-5.14,8.15,7.7,-4.17,0.018,1.35,2000.0,1625.9,-18.71,0,66,77,0
50,2,48,143,6.29,0.21,-2.0,50.0,-2.0,9.58,33.06,-2.0,0.022,3.97,2000.0,1610.77,-19.46,4,134,0,5
10,5,4,143,36.36,0.03,-5.0,10.0,-5.0,6.33,7.7,-4.35,0.005,1.55,2000.0,1591.39,-20.43,37,74,32,0
30,2,2,143,17.48,-0.03,-2.0,30.0,-2.0,5.52,9.03,-1.95,-0.005,0.73,2000.0,1589.46,-20.53,3,114,26,0
50,2,24,143,8.39,0.14,-2.0,50.0,-2.0,8.8,23.42,-1.99,0.016,3.13,2000.0,1573.38,-21.33,3,130,9,1
25,2,2,143,17.48,-0.06,-2.0,25.0,-2.0,5.25,8.85,-1.95,-0.011,0.72,2000.0,1542.76,-22.86,4,114,25,0
10,5,6,143,35.66,0.01,-5.0,10.0,-5.0,6.48,8.29,-4.58,0.001,1.95,2000.0,1513.22,-24.34,37,79,27,0
5,15,2,143,60.84,0.04,5.0,5.0,-15.0,6.68,4.52,-6.92,0.006,1.09,2000.0,1511.75,-24.41,76,14,53,0
25,2,4,143,14.69,-0.04,-2.0,26.1,-2.0,5.95,11.19,-1.97,-0.007,1.02,2000.0,1511.73,-24.41,5,120,18,0
5,25,2,143,62.24,0.09,5.0,5.0,-25.0,7.33,4.53,-7.22,0.013,1.15,2000.0,1492.57,-25.37,78,5,60,0
15,10,2,143,44.06,0.16,-0.65,15.0,-10.0,8.8,8.31,-6.25,0.018,1.45,2000.0,1468.31,-26.58,27,36,80,0
20,2,4,143,15.38,-0.09,-2.0,20.0,-2.0,5.38,10.29,-1.97,-0.016,0.98,2000.0,1465.07,-26.75,8,119,16,0
25,5,4,143,29.37,0.11,-5.0,26.1,-5.0,8.97,10.96,-4.4,0.012,2.06,2000.0,1395.76,-30.21,12,83,48,0
50,2,12,143,11.19,-0.04,-2.0,50.0,-2.0,7.39,15.48,-2.0,-0.006,2.0,2000.0,1366.95,-31.65,2,127,14,0
15,5,4,143,31.47,-0.01,-5.0,15.0,-5.0,7.46,9.54,-4.39,-0.001,1.79,2000.0,1358.25,-32.09,25,81,37,0
10,5,12,143,33.57,-0.06,-5.0,10.0,-5.0,6.72,9.17,-4.72,-0.009,2.75,2000.0,1339.1,-33.05,41,87,15,0
10,10,2,143,46.85,0.02,-0.33,10.0,-10.0,7.72,7.11,-6.24,0.002,1.3,2000.0,1337.77,-33.11,43,34,66,0
25,5,12,143,23.08,0.17,-5.0,25.0,-5.0,10.13,16.62,-4.76,0.017,3.84,2000.0,1326.96,-33.65,18,102,23,0
30,5,4,143,29.37,0.08,-5.0,30.0,-5.0,9.21,10.86,-4.4,0.009,2.14,2000.0,1309.54,-34.52,8,83,52,0
15,5,6,143,30.07,-0.02,-5.0,15.0,-5.0,7.7,10.66,-4.61,-0.003,2.26,2000.0,1299.86,-35.01,26,87,30,0
20,5,6,143,27.97,0.04,-5.0,20.0,-5.0,8.62,12.04,-4.62,0.004,2.54,2000.0,1291.41,-35.43,18,90,35,0
15,5,12,143,27.97,-0.04,-5.0,15.0,-5.0,7.98,12.06,-4.75,-0.006,3.27,2000.0,1221.03,-38.95,28,95,20,0
5,20,4,143,63.64,-0.05,5.0,5.0,-20.0,7.59,4.67,-8.32,-0.007,1.91,2000.0,1187.89,-40.61,84,9,50,0
10,5,24,143,33.57,-0.19,-5.0,10.0,-5.0,6.81,9.13,-4.89,-0.027,3.62,2000.0,1111.34,-44.43,43,92,8,0
5,20,6,143,66.43,-0.05,5.0,5.41,-20.0,8.14,4.84,-9.75,-0.007,2.54,2000.0,1099.4,-45.03,90,13,40,0
50,10,2,143,41.96,0.12,-1.56,50.0,-10.0,11.48,9.12,-6.39,0.01,1.66,2000.0,1045.05,-47.75,4,39,100,0
15,5,24,143,27.27,-0.14,-5.0,15.0,-5.0,8.21,12.57,-4.9,-0.017,4.5,2000.0,1040.79,-47.96,31,101,10,1
50,20,2,143,45.45,0.24,-0.37,50.0,-20.0,12.44,9.0,-7.06,0.02,1.93,2000.0,1037.24,-48.14,4,10,129,0
30,5,24,143,20.28,0.11,-5.0,30.0,-5.0,11.47,19.86,-4.91,0.01,5.84,2000.0,1036.2,-48.19,17,111,13,2
15,5,48,143,25.17,-0.14,-5.0,15.0,-5.0,8.35,13.94,-4.88,-0.017,5.67,2000.0,1018.62,-49.07,32,104,0,7
25,5,24,143,20.98,0.02,-5.0,25.0,-5.0,10.6,18.58,-4.91,0.002,5.22,2000.0,1002.77,-49.86,21,110,11,1
50,5,6,143,25.17,-0.01,-5.0,50.0,-5.0,10.68,13.51,-4.55,-0.0,2.94,2000.0,1002.49,-49.88,3,92,48,0
5,10,6,143,58.74,-0.27,5.0,5.41,-10.0,6.53,4.88,-7.6,-0.041,1.86,2000.0,989.75,-50.51,80,37,26,0
50,5,4,143,28.67,-0.09,-5.0,50.0,-5.0,9.85,10.64,-4.41,-0.01,2.22,2000.0,975.85,-51.21,3,84,56,0
20,5,4,143,29.37,-0.22,-5.0,20.0,-5.0,7.93,9.82,-4.4,-0.028,2.0,2000.0,957.94,-52.1,15,83,45,0
25,5,48,143,18.88,-0.01,-5.0,25.0,-5.0,10.69,20.97,-4.89,-0.001,6.71,2000.0,957.71,-52.11,21,113,0,9
10,5,48,143,31.47,-0.29,-5.0,10.0,-5.0,6.83,9.67,-4.87,-0.043,4.61,2000.0,947.87,-52.61,43,95,0,5
100,5,6,143,25.17,-0.02,-5.0,66.12,-5.0,11.14,13.43,-4.55,-0.002,3.04,2000.0,942.91,-52.85,0,92,51,0
5,10,4,143,58.04,-0.32,5.0,5.0,-10.0,6.37,4.64,-7.18,-0.05,1.47,2000.0,938.58,-53.07,76,36,31,0
5,10,12,143,60.14,-0.3,5.0,5.0,-10.0,6.73,4.95,-8.21,-0.044,2.7,2000.0,936.71,-53.16,84,41,18,0
10,20,4,143,50.35,-0.03,0.14,10.0,-20.0,9.83,8.12,-8.29,-0.003,2.66,2000.0,924.51,-53.77,55,12,76,0
15,20,4,143,45.45,0.12,-1.11,15.0,-20.0,11.39,10.34,-8.4,0.01,3.05,2000.0,920.41,-53.98,40,14,89,0
30,5,12,143,22.38,-0.07,-5.0,30.0,-5.0,10.37,16.19,-4.76,-0.007,4.16,2000.0,916.23,-54.19,13,103,27,0
25,20,2,143,45.45,0.04,-0.37,25.0,-20.0,10.94,8.55,-7.06,0.003,1.86,2000.0,913.09,-54.35,13,10,120,0
25,10,2,143,41.96,-0.1,-1.56,25.0,-10.0,9.81,8.61,-6.39,-0.01,1.59,2000.0,910.76,-54.46,12,39,92,0
30,5,48,143,17.48,-0.01,-5.0,30.0,-5.0,11.49,23.06,-4.89,-0.0,7.56,2000.0,873.1,-56.34,17,115,0,11
